doc_id,event_id,event_tag,span_text,token_ids,source_file
1_10ecbplus.xml,4,ACTION_OCCURRENCE,facing,52,1_10ecbplus.xml.xml
1_10ecbplus.xml,5,ACTION_OCCURRENCE,checked into,65 66,1_10ecbplus.xml.xml
1_10ecbplus.xml,6,ACTION_OCCURRENCE,violating,58,1_10ecbplus.xml.xml
1_10ecbplus.xml,7,ACTION_OCCURRENCE,stay,112,1_10ecbplus.xml.xml
1_10ecbplus.xml,8,ACTION_OCCURRENCE,rear - ended,119 120 121,1_10ecbplus.xml.xml
1_10ecbplus.xml,9,ACTION_OCCURRENCE,telling,141,1_10ecbplus.xml.xml
1_10ecbplus.xml,10,ACTION_OCCURRENCE,lied,137,1_10ecbplus.xml.xml
1_10ecbplus.xml,11,ACTION_OCCURRENCE,driving,107,1_10ecbplus.xml.xml
1_10ecbplus.xml,12,ACTION_OCCURRENCE,case,108,1_10ecbplus.xml.xml
1_10ecbplus.xml,13,ACTION_OCCURRENCE,stay,80,1_10ecbplus.xml.xml
1_10ecbplus.xml,14,ACTION_OCCURRENCE,violation,102,1_10ecbplus.xml.xml
1_10ecbplus.xml,15,ACTION_OCCURRENCE,checks into,32 33,1_10ecbplus.xml.xml
1_10ecbplus.xml,16,ACTION_OCCURRENCE,driving,84,1_10ecbplus.xml.xml
1_10ecbplus.xml,17,ACTION_OCCURRENCE,conviction,85,1_10ecbplus.xml.xml
1_10ecbplus.xml,46,ACTION_OCCURRENCE,t1_treatment,,1_10ecbplus.xml.xml
1_10ecbplus.xml,48,ACTION_OCCURRENCE,t1_probation_violation_2011,,1_10ecbplus.xml.xml
1_10ecbplus.xml,50,ACTION_OCCURRENCE,t1_conviction_reckless_driving,,1_10ecbplus.xml.xml
1_10ecbplus.xml,55,ACTION_OCCURRENCE,t1_rear_ended,,1_10ecbplus.xml.xml
1_10ecbplus.xml,56,ACTION_OCCURRENCE,t1_facing_arrest,,1_10ecbplus.xml.xml
1_10ecbplus.xml,59,ACTION_OCCURRENCE,t1_probation_violation,,1_10ecbplus.xml.xml
1_10ecbplus.xml,62,ACTION_OCCURRENCE,t1_lie_police,,1_10ecbplus.xml.xml
1_10ecbplus.xml,63,ACTION_OCCURRENCE,t1_drunk_driving,,1_10ecbplus.xml.xml
1_10ecbplus.xml,64,ACTION_OCCURRENCE,t1_checking_into_betty_ford,,1_10ecbplus.xml.xml
1_10ecbplus.xml,66,ACTION_OCCURRENCE,t1_drunk_driving_case,,1_10ecbplus.xml.xml
1_10ecbplus.xml,69,ACTION_OCCURRENCE,t1_checking_into_morningside_or_showing_up,,1_10ecbplus.xml.xml
1_10ecbplus.xml,18,ACTION_STATE,probation,101,1_10ecbplus.xml.xml
1_10ecbplus.xml,19,ACTION_STATE,drunk,106,1_10ecbplus.xml.xml
1_10ecbplus.xml,20,ACTION_STATE,probation,60,1_10ecbplus.xml.xml
1_10ecbplus.xml,53,ACTION_STATE,t1_probation,,1_10ecbplus.xml.xml
1_10ecbplus.xml,68,ACTION_STATE,t1_drunk,,1_10ecbplus.xml.xml
1_10ecbplus.xml,1,ACTION_ASPECTUAL,begin,72,1_10ecbplus.xml.xml
1_10ecbplus.xml,2,ACTION_ASPECTUAL,comes,116,1_10ecbplus.xml.xml
1_10ecbplus.xml,45,ACTION_ASPECTUAL,t1_comes_after_accident,,1_10ecbplus.xml.xml
1_10ecbplus.xml,70,ACTION_ASPECTUAL,t1_begin_90_days,,1_10ecbplus.xml.xml
1_11ecbplus.xml,1,ACTION_OCCURRENCE,checks into,34 35,1_11ecbplus.xml.xml
1_11ecbplus.xml,2,ACTION_OCCURRENCE,rehab,56,1_11ecbplus.xml.xml
1_11ecbplus.xml,3,ACTION_OCCURRENCE,rehires,42,1_11ecbplus.xml.xml
1_11ecbplus.xml,4,ACTION_OCCURRENCE,checked into,51 52,1_11ecbplus.xml.xml
1_11ecbplus.xml,5,ACTION_OCCURRENCE,hiring,66,1_11ecbplus.xml.xml
1_11ecbplus.xml,6,ACTION_OCCURRENCE,checked into,102 103,1_11ecbplus.xml.xml
1_11ecbplus.xml,7,ACTION_OCCURRENCE,sought,136,1_11ecbplus.xml.xml
1_11ecbplus.xml,8,ACTION_OCCURRENCE,got into,143 144,1_11ecbplus.xml.xml
1_11ecbplus.xml,9,ACTION_OCCURRENCE,help,72,1_11ecbplus.xml.xml
1_11ecbplus.xml,10,ACTION_OCCURRENCE,altercation,147,1_11ecbplus.xml.xml
1_11ecbplus.xml,43,ACTION_OCCURRENCE,t1_sought_help,,1_11ecbplus.xml.xml
1_11ecbplus.xml,45,ACTION_OCCURRENCE,t1_altercation_with_staffer,,1_11ecbplus.xml.xml
1_11ecbplus.xml,49,ACTION_OCCURRENCE,t1_rehire_attorney,,1_11ecbplus.xml.xml
1_11ecbplus.xml,50,ACTION_OCCURRENCE,t1_help,,1_11ecbplus.xml.xml
1_11ecbplus.xml,51,ACTION_OCCURRENCE,t1_got_into_altercation,,1_11ecbplus.xml.xml
1_11ecbplus.xml,52,ACTION_OCCURRENCE,t1_treatment,,1_11ecbplus.xml.xml
1_11ecbplus.xml,53,ACTION_OCCURRENCE,t1_checking_into_betty_ford,,1_11ecbplus.xml.xml
1_11ecbplus.xml,12,ACTION_STATE,confusion,117,1_11ecbplus.xml.xml
1_11ecbplus.xml,13,ACTION_STATE,help,137,1_11ecbplus.xml.xml
1_11ecbplus.xml,37,ACTION_STATE,t1_whereabouts,,1_11ecbplus.xml.xml
1_11ecbplus.xml,48,ACTION_STATE,t1_confusion,,1_11ecbplus.xml.xml
1_11ecbplus.xml,55,ACTION_STATE,t1_help_state,,1_11ecbplus.xml.xml
1_11ecbplus.xml,11,ACTION_REPORTING,told,124,1_11ecbplus.xml.xml
1_11ecbplus.xml,46,ACTION_REPORTING,t1_source_told_daily_news,,1_11ecbplus.xml.xml
1_12ecbplus.xml,1,ACTION_OCCURRENCE,ensconced,131,1_12ecbplus.xml.xml
1_12ecbplus.xml,2,ACTION_OCCURRENCE,on her way,149 150 151,1_12ecbplus.xml.xml
1_12ecbplus.xml,3,ACTION_OCCURRENCE,check in .,184 185 186,1_12ecbplus.xml.xml
1_12ecbplus.xml,4,ACTION_OCCURRENCE,pretending,46,1_12ecbplus.xml.xml
1_12ecbplus.xml,5,ACTION_OCCURRENCE,check into,48 49,1_12ecbplus.xml.xml
1_12ecbplus.xml,6,ACTION_OCCURRENCE,fooled,70,1_12ecbplus.xml.xml
1_12ecbplus.xml,7,ACTION_OCCURRENCE,pretending,90,1_12ecbplus.xml.xml
1_12ecbplus.xml,8,ACTION_OCCURRENCE,check into,92 93,1_12ecbplus.xml.xml
1_12ecbplus.xml,9,ACTION_OCCURRENCE,flight,158,1_12ecbplus.xml.xml
1_12ecbplus.xml,10,ACTION_OCCURRENCE,chickening out,99 100,1_12ecbplus.xml.xml
1_12ecbplus.xml,11,ACTION_OCCURRENCE,snapped,172,1_12ecbplus.xml.xml
1_12ecbplus.xml,12,ACTION_OCCURRENCE,shopping,174,1_12ecbplus.xml.xml
1_12ecbplus.xml,13,ACTION_OCCURRENCE,pulled up,189 190,1_12ecbplus.xml.xml
1_12ecbplus.xml,14,ACTION_OCCURRENCE,left,199,1_12ecbplus.xml.xml
1_12ecbplus.xml,15,ACTION_OCCURRENCE,getting,155,1_12ecbplus.xml.xml
1_12ecbplus.xml,16,ACTION_OCCURRENCE,court hearing,117 118,1_12ecbplus.xml.xml
1_12ecbplus.xml,64,ACTION_OCCURRENCE,t1_ensconsed,,1_12ecbplus.xml.xml
1_12ecbplus.xml,65,ACTION_OCCURRENCE,t1_pretending_check_in,,1_12ecbplus.xml.xml
1_12ecbplus.xml,69,ACTION_OCCURRENCE,t1_snapping_photos_of_lindsay,,1_12ecbplus.xml.xml
1_12ecbplus.xml,74,ACTION_OCCURRENCE,t1_vehicle_left,,1_12ecbplus.xml.xml
1_12ecbplus.xml,76,ACTION_OCCURRENCE,t1_on_way_to_lax,,1_12ecbplus.xml.xml
1_12ecbplus.xml,81,ACTION_OCCURRENCE,t1_shopping_electronics,,1_12ecbplus.xml.xml
1_12ecbplus.xml,84,ACTION_OCCURRENCE,t1_flight_to_ny,,1_12ecbplus.xml.xml
1_12ecbplus.xml,85,ACTION_OCCURRENCE,t1_pulled_up_to_morningside,,1_12ecbplus.xml.xml
1_12ecbplus.xml,86,ACTION_OCCURRENCE,t1_the_hearing,,1_12ecbplus.xml.xml
1_12ecbplus.xml,87,ACTION_OCCURRENCE,t1_checking_into_morningside_or_showing_up,,1_12ecbplus.xml.xml
1_12ecbplus.xml,89,ACTION_OCCURRENCE,t1_fooled_judge,,1_12ecbplus.xml.xml
1_12ecbplus.xml,90,ACTION_OCCURRENCE,t1_getting_on_flight,,1_12ecbplus.xml.xml
1_12ecbplus.xml,97,ACTION_OCCURRENCE,t1_chickening_out,,1_12ecbplus.xml.xml
1_12ecbplus.xml,21,ACTION_STATE,MIA,44,1_12ecbplus.xml.xml
1_12ecbplus.xml,94,ACTION_STATE,t1_mia,,1_12ecbplus.xml.xml
1_12ecbplus.xml,17,ACTION_REPORTING,told,239,1_12ecbplus.xml.xml
1_12ecbplus.xml,18,ACTION_REPORTING,told,109,1_12ecbplus.xml.xml
1_12ecbplus.xml,19,ACTION_REPORTING,said,127,1_12ecbplus.xml.xml
